Subject,mean_sentiment,n_feedback,rank_score
Happy Hour,1.0,4,1.6094379124341003
Oldy but goody,1.0,3,1.3862943611198906
Happy holidays,1.0,3,1.3862943611198906
RE: Good Morning,1.0,3,1.3862943611198906
RE: Good Morning!!,1.0,3,1.3862943611198906
RE: Happy Hour,1.0,3,1.3862943611198906
Re: Good Morning,1.0,3,1.3862943611198906
Re: Happy Hour,1.0,3,1.3862943611198906
FW: Happy Hour,1.0,2,1.0986122886681098
Happy Holidays from HighSchoolAlumni.com!,1.0,2,1.0986122886681098
Fwd: Who really loves beer?,1.0,1,0.6931471805599453
Potential employment opportunities with Enron,1.0,1,0.6931471805599453
Good Beer drinkers game!,1.0,1,0.6931471805599453
Latest & Greatest Agendas,1.0,1,0.6931471805599453
Now HERE is a good lawsuit...,1.0,1,0.6931471805599453
Happy Birthday Don Jr.,1.0,1,0.6931471805599453
"EB-27-C-2- Associate Luncheon w/SB, GP, MP (Associates: Boon Lua,
 Edosa Obayagbona, Michael Mattox, Nadeem Abdullah, Shruti Gandhi-Gupta,
 Vikram Abhyankar, Sarah Goodpastor, Jennifer Smith, Jon Henderlong, Sunjay
 Arya, (Teseo Bergoglio-N/A-Brazil)",1.0,1,0.6931471805599453
Happy New Year - No Y2K Fear!,1.0,1,0.6931471805599453
"Re: Diversity/OLER Open House: Now Friday, April 27, 2001 from 9
 a.m. to 3 p.m. in EBH49c1; drop by anytime to learn about Diversity/OLER
 and enjoy some refreshments",1.0,1,0.6931471805599453
Re: HAPPY BIRTHDAY,1.0,1,0.6931471805599453
phone #,0.0,1,0.0
model,0.0,1,0.0
mdea imbalance,0.0,1,0.0
liquids curve validation,0.0,1,0.0
quad cities,0.0,2,0.0
summary status of the comments,0.0,1,0.0
testing....,0.0,2,0.0
the ballot,0.0,1,0.0
this is funny,0.0,2,0.0
tkts,0.0,2,0.0
trade,0.0,4,0.0
trading in India,0.0,1,0.0
turn up volume first & open with care,0.0,1,0.0
updated budget for doorstep,0.0,1,0.0
updated presentation for MF,0.0,1,0.0
vacation plans,0.0,4,0.0
wassup,0.0,1,0.0
what's up (or down) in Cin markets,0.0,3,0.0
(No Subject),0.0,141,0.0
latest MG integration plan,0.0,1,0.0
Additions to Attendee List for Dallas ASE,0.0,3,0.0
Agua Dulce and Thompsonville Products,0.0,1,0.0
AirCard Activation,0.0,4,0.0
Alexander McElreath 24hr Trader,0.0,3,0.0
Alexander McElreath-Real time,0.0,1,0.0
"Allegheny Energy Supply Company LLC - Merrill Lynch Capital
 Services, Inc.",0.0,3,0.0
Allegheny Power Guidelines Update,0.0,2,0.0
Ameren Services Company,0.0,2,0.0
An Enron win against MISO!,0.0,2,0.0
5 X 24,0.0,1,0.0
8/17/2000 DPR,0.0,1,0.0
8/7/2001 HE 23,0.0,1,0.0
8:30 AM Tuesday Risk Meeting,0.0,1,0.0
<<Concur Expense Document>> - Baseball Game,0.0,1,0.0
<<Concur Expense Document>> - Monthly Cellular Bill,0.0,1,0.0
A note on PMA's,0.0,1,0.0
Associate & Analyst Program Survey,0.0,1,0.0
Associate Starting,0.0,2,0.0
Associate/Analyst Fall Recruiting,0.0,1,0.0
Associates PRC Meeting,0.0,2,0.0
Associates PRC Meeting Cancelled,0.0,1,0.0
Atlantic City Electric Company,0.0,3,0.0
Attendees for Wednesday night's dinner at Cafe Annie's,0.0,1,0.0
Austin,0.0,4,0.0
Austin?,0.0,1,0.0
Accomplishments,0.0,2,0.0
Accomplishments - First Half of 2000,0.0,3,0.0
Accomplishments for 2000,0.0,1,0.0
Action Requested:  Past Due Invoice,0.0,1,0.0
Action from last Doorstep meeting,0.0,1,0.0
Added Role,0.0,1,0.0
Addition,0.0,1,0.0
Background  for Hourly Positions,0.0,2,0.0
Bankruptcy,0.0,3,0.0
Bearkadette Schedule,0.0,5,0.0
Bet,0.0,2,0.0
Bid/Offer,0.0,2,0.0
Bjornson,0.0,2,0.0
Blank form,0.0,1,0.0
Body Shop Deductions for UBS Employees,0.0,1,0.0
Book Administrator's for EGM,0.0,2,0.0
Analyst Hiring Needs,0.0,1,0.0
Another Move Up the Career Ladder,0.0,2,0.0
Another Vac. request,0.0,3,0.0
Approval to release salary averages to Lisa Cousino,0.0,2,0.0
Arch Takedown,0.0,2,0.0
"Ash Grove Cement Company, East Bay Municipal Utilitity District",0.0,2,0.0
Asset Marketing,0.0,2,0.0
CCV Assoc. Mtg. Monday,0.0,1,0.0
CFA Reimbursement,0.0,2,0.0
CG&E Agreements,0.0,3,0.0
CNN Breaking News,0.0,1,0.0
CONGRATULATIONS,0.0,2,0.0
Caledonia unavailable,0.0,2,0.0
Call Laddie for house party:,0.0,2,0.0
Calling all Texas Exes...,0.0,1,0.0
Canadian Promotions/Trip,0.0,2,0.0
Ava @ Hyatt / Enron @ A Glance,0.0,1,0.0
BBALL,0.0,1,0.0
BJ,0.0,1,0.0
BO Origination April 2001.ppt,0.0,1,0.0
BOOKEDOUT ERCOT SCHEDULE(WR TO RHLP) ISO 9095,0.0,1,0.0
BRUTAL,0.0,2,0.0
Bachelor Party,0.0,1,0.0
Check-out with PECO,0.0,1,0.0
Christine Walton Resume,0.0,1,0.0
"Christmas Sing-a-Long - from Larry, Julie, Cody and Zack",0.0,1,0.0
Cigar Aficionado Account Service,0.0,2,0.0
Cin 2000,0.0,1,0.0
City of Shasta Lake,0.0,2,0.0
Clarification,0.0,1,0.0
"Clear Lake at sunset, saturday",0.0,1,0.0
ClickAtHome - MSN Internet Service Available,0.0,1,0.0
Book Administrators - Gas,0.0,1,0.0
Boots,0.0,1,0.0
Bracket,0.0,1,0.0
